"고정형CCTV지번주소","위도","경도","자치구","단속지점명","현장구분"
"서울 강동구 길동 82-4","37.542021","127.147479  ","강동구","강동에코포레 앞","불법주정차구역"
"서울 강동구 고덕동 193-3","37.558169","127.169929 ","강동구","고덕센트럴푸르지오 앞","불법주정차구역"
"서울 강동구 고덕동 487-15","37.5567623333733","127.145081475071","강동구","명덕초교 앞","불법주정차구역"
"서울 강동구 강일동 685","37.564392","127.178237 ","강동구","강일초교 앞","불법주정차구역"
"서울 강동구 둔촌동 149","37.528778516440255","127.14088455574782","강동구","한산초등학교","불법주정차구역"
"서울 강동구 성내동 160-52","37.53616324271502","127.13220332121682","강동구","강동역","불법주정차구역"
"서울 강동구 상일동 537","37.555005212508966","127.17401708848258","강동구","강명초등학교","불법주정차구역"
"서울 강동구 암사동 506-8","37.55570899281977","127.12941133051157","강동구","선사초등학교","불법주정차구역"
"서울 강동구 천호동 224-21","37.54709656148985","127.13446886659547","강동구","천호초등학교","불법주정차구역"
"서울 강동구 암사동 675","37.54819420041855","127.12567812638856","강동구","힐스테이트 강동리버뷰","불법주정차구역"
"서울 강동구 고덕동 222","37.56041457128061","127.16214851979372","강동구","강덕초등학교","불법주정차구역"
"서울 강동구 둔촌동 91-17","37.52890202866953","127.14491798482115","강동구","선린초등학교","불법주정차구역"
"서울 강동구 암사동 509","37.55389410475648","127.12464652496406","강동구","예슬유치원","불법주정차구역"
"서울 강동구 천호동 451","37.53779308866493","127.12900132126573","강동구","이안 강동 컴홈스테이 1차","불법주정차구역"
"서울 강동구 강일동 694","37.562285789771955","127.17967905122998","강동구","강솔초교 앞","불법주정차구역"
"서울 강동구 명일동 47","37.554421316772824","127.15324872614643","강동구","명일삼환아파트","불법주정차구역"
